,num,Star_name,Distance,Mass,Radius,temp_num,Temp_star_name,Temp_distance,Temp_mass,Temp_radius
0,,,,,,,,,,
1,0.0,Sun,0.000015813,1,1,0.0,SDSS J000013.54+255418.6 [de],46.1,48.0,0.99
2,,,,,,,,,,
3,1.0,Sirius,8.6,2.1,1.71´,1.0,2MASS J00040288-6410358,192.0,19.0,1.63
4,,,,,,,,,,
5,2.0,Canopus,310,15,71,2.0,LHS 102BC,,,
6,,,,,,,,,,
7,3.0,Alpha Centauri,4.4,1.1,1.2,3.0,2MASS J00242463-0158201,37.7,79.0,1.09
8,,,,,,,,,,
9,4.0,Arcturus,37,1.1,26,4.0,2MASS J00250365+4759191AB,143.0,,
10,,,,,,,,,,
11,5.0,Vega,25,2.2,2.7,5.0,2MASS J00274197+0503417,236.0,31.0,1.44
12,,,,,,,,,,
13,6.0,Capella,43,2.6,12,6.0,2MASS J00275592+2219328,46.9,,
14,,,,,,,,,,
15,7.0,Rigel,860,23,78.9,7.0,2MASSW J0030300-145033,87.2,54.0,0.98
16,,,,,,,,,,
17,8.0,Procyon,11.4,1.5,1.9,8.0,2MASS J00332386-1521309 [de],131.0,29.0,1.43
18,,,,,,,,,,
19,9.0,Betelgeuse,0640[1],20,950,9.0,2MASS J00345157+0523050,31.0,42.0,0.94
20,,,,,,,,,,
21,10.0,Achernar,144,6.7,9.3,10.0,2MASS 0036+1821,28.6,42.0,0.94
22,,,,,,,,,,
23,11.0,Hadar,390,10.5,8.6,11.0,2MASSW J0045214+163445,57.0,23.0,1.62
24,,,,,,,,,,
25,12.0,Altair,17,1.8,1.8,12.0,WISEP J004701.06+680352.1 [fr],40.0,12.0,1.3
26,,,,,,,,,,
27,13.0,Acrux,320,18,8.9,13.0,2MASS J00501994-3322402 [de],34.0,40.0,0.94
28,,,,,,,,,,
29,14.0,Aldebaran,65,1.5,44,14.0,2MASS J00034227-2822410,,,
30,,,,,,,,,,
31,15.0,Antares,600,12,680,15.0,2MASS J00584253-0651239 [de],96.0,29.0,1.43
32,,,,,,,,,,
33,16.0,Spica,260,11.43,7.47,16.0,CFBDS J005910.90–011401.3,30.0,23.0,
34,,,,,,,,,,
35,17.0,Pollux,34,1.9,8.8,17.0,2MASSI J0103320+193536,70.0,52.0,0.98
36,,,,,,,,,,
37,18.0,Fomalhaut,25,1.9,1.8,18.0,SDSSp J010752.33+004156.1 [de],51.0,52.0,0.98
38,,,,,,,,,,
39,19.0,Deneb,"2,600",19,203,19.0,2MASSI J0117474-340325 [de],163.0,20.0,1.62
40,,,,,,,,,,
41,20.0,Mimosa,350,16,8.4,20.0,2MASS J01415823-4633574 [de],130.0,20.0,1.61
42,,,,,,,,,,
43,21.0,Regulus,77,3.8,3.1,21.0,SDSS J015141.69+124429.6,70.0,47.0,0.97
44,,,,,,,,,,
45,22.0,Adhara,430,12.5,14,22.0,DENIS-P J020529.0−115925A,65.0,,
46,,,,,,,,,,
47,23.0,Shaula,700,14.5,8.8,23.0,DENIS-P J020529.0−115925B,65.0,,
48,,,,,,,,,,
49,24.0,Castor,52,2.8,2.4,24.0,DENIS-P J020529.0−115925C,65.0,,
50,,,,,,,,,,
51,25.0,Gacrux,88,1.5,84,25.0,SDSS J020742.48+000056.2 [de],111.0,47.0,0.97
52,,,,,,,,,,
53,26.0,Bellatrix,240,8.6,5.8,26.0,2MASS J02103857-3015313,101.0,15.0,1.53
54,,,,,,,,,,
55,27.0,Elnath,130,5,4.2,27.0,2MASS J02340093-6442068,155.0,20.0,1.62
56,,,,,,,,,,
57,28.0,Miaplacidus,110,3.5,6.8,28.0,2MASS J02411151-0326587 [de],152.0,27.0,1.41
58,,,,,,,,,,
59,29.0,Alnilam,"2,000",32,42,29.0,2MASS J02431371−2453298,35.0,33.0,0.99
60,,,,,,,,,,
61,30.0,Gamma Velorum,"1,100",9,6,30.0,LP 771-21,53.0,78.0,1.08
62,,,,,,,,,,
63,31.0,Alnair,101,4,3.4,31.0,2MASS J02511327+0047364,,,
64,,,,,,,,,,
